dischromic _patches, "dischromic patch", "brown spot", "skin lesion"
patches_in_throat, " patches in throat", "white dots in throat", " patches on tonsils"
irregular_sugar_level, "dizzy", "not eaten much", "tired"
dehydration, "thristy", "dry lips", "dehydrated", "dizzy"
loss_of_balance, "struggling to walk", "dizzy", "room is spinning"
acidity, "chest is burning", "stuggling to swallow", " burning in throat" 
nausea, "sick", "queasy", "clammy"
swelled_lymph_nodes, "fever", "swollen neck", "bump on neck"
pain_behind_the_eyes, " eyes are hurting", "eyes painful", "eyes are causing discomfort" 
belly_pain, "stomach hurting", "bloated", "struggling pooing"
receiving_unsterile_injections, "unsterile injection", "symptoms of hepatitis", "symptoms of HIV"
history_of_alcohol_consumption, "alcohol consumption", "drink a lot", "a lot of alcohol"
phlegm, "runny nose", "phlegm", "sore throat"
throat_irritation, "throat uncomfortable", "discomfort in throat", "swallowing hurts"
sinus_pressure, "swelling around cheeks" "blocked nose", "struggling to smell"
congestion, "runny nose", "mucus", "sinus pain"
fast_heart_rate, "heart beating fast", "heart beating quickly", "heart rate increased"
anxiety, "stressed", "anxious", "restless recently"
slurred_speech, "difficulties talking ", "slurred speech", "slur words"
muscle_weakness, "weaker", "muscles weaker than usual", "muscle weakness"
movement_stiffness, "stiff", "muscles can't relax", "muscles cramp"
pus_filled_pimples, "pimple", "pastule", " pus filled pimple"
abdominal_pain, "abdomen hurts", "pain in gut", "pain in abdomen"
continuous_feel_of_urine, "need wee", "often go to toilet", "feel urine"
